id,country,item,year,yield_kg_ha
170,China,Oranges,2012,15523.5
171,China,Oranges,2013,15218.5
172,China,Oranges,2014,12782.9
173,China,Oranges,2015,16257.3
174,China,Oranges,2016,16362
175,China,Oranges,2017,17124.1
176,China,Oranges,2018,17960.9
177,China,Oranges,2019,18671.9
178,Japan,Apples,1961,15045.7
179,Japan,Apples,1962,15456
180,Japan,Apples,1963,17687.6
181,Japan,Apples,1964,16692.2
182,Japan,Apples,1965,17256.1
183,Japan,Apples,1966,16143.3
184,Japan,Apples,1967,17254.6
185,Japan,Apples,1968,17889.8
186,Japan,Apples,1969,17728.8
187,Japan,Apples,1970,17130.9
188,Japan,Apples,1971,17050.8
189,Japan,Apples,1972,16479.4
190,Japan,Apples,1973,16919.2
191,Japan,Apples,1974,15461.8
192,Japan,Apples,1975,16877.8
193,Japan,Apples,1976,17108.9
194,Japan,Apples,1977,18911.2
195,Japan,Apples,1978,16646.9
196,Japan,Apples,1979,16818.5
197,Japan,Apples,1980,18752
198,Japan,Apples,1981,16263.5
199,Japan,Apples,1982,17410.5
200,Japan,Apples,1983,19443.4
201,Japan,Apples,1984,14948.4
202,Japan,Apples,1985,16733.5
203,Japan,Apples,1986,18027.4
204,Japan,Apples,1987,18209.9
205,Japan,Apples,1988,19014.6
206,Japan,Apples,1989,19244.9
207,Japan,Apples,1990,19536.2
208,Japan,Apples,1991,14237.8
209,Japan,Apples,1992,19715.4
210,Japan,Apples,1993,19442.3
211,Japan,Apples,1994,20567.6
212,Japan,Apples,1995,20180.3
213,Japan,Apples,1996,19050.8
214,Japan,Apples,1997,21315.5
215,Japan,Apples,1998,19320.9
216,Japan,Apples,1999,20800.4
217,Japan,Apples,2000,18214.1
218,Japan,Apples,2001,21544
219,Japan,Apples,2002,21834.9
220,Japan,Apples,2003,20242.8
221,Japan,Apples,2004,18271.2
222,Japan,Apples,2005,20071.1
223,Japan,Apples,2006,20640.2
224,Japan,Apples,2007,21055.1
225,Japan,Apples,2008,23055.7
226,Japan,Apples,2009,21793.8
227,Japan,Apples,2010,20643
228,Japan,Apples,2011,17336
229,Japan,Apples,2012,21224.6
230,Japan,Apples,2013,19938.2
231,Japan,Apples,2014,22002.7
232,Japan,Apples,2015,21932.4
233,Japan,Apples,2016,20788
234,Japan,Apples,2017,20142.5
235,Japan,Apples,2018,20886.7
236,Japan,Apples,2019,19488.9
237,Japan,Bananas,1961,8125
238,Japan,Bananas,1962,8235.3
239,Japan,Bananas,1963,8125
240,Japan,Bananas,1964,8181.8
241,Japan,Bananas,1965,8000
242,Japan,Bananas,1966,8000
243,Japan,Bananas,1967,8000
244,Japan,Bananas,1968,8000
245,Japan,Bananas,1969,8000
246,Japan,Bananas,1970,8000
247,Japan,Bananas,1971,8000
248,Japan,Bananas,1972,8000
249,Japan,Bananas,1973,8000
250,Japan,Bananas,1974,8000
251,Japan,Bananas,1975,8000
252,Japan,Bananas,1976,8000
253,Japan,Bananas,1977,8823.5
254,Japan,Bananas,1978,8823.5
255,Japan,Bananas,1979,8695.7
256,Japan,Bananas,1980,8695.7
